contact_id,customer_id,tenant_id,full_name,role,wa_id,email,is_proof_approver,created_at
7fffbc3f-5f0c-749f-fc40-918435e979df,4a36138b-484d-b384-052d-557184896331,ramco-printing,Peter Kariuki,Marketing Manager,254722513109,peter@example.co.ke,True,2026-08-11
ae8c8f10-12ea-048b-eef8-169e6882e3ed,4a36138b-484d-b384-052d-557184896331,ramco-printing,Faith Njeri,Marketing Assistant,,faith@example.co.ke,False,2026-08-11
719ef3d0-bc06-fe91-31cc-feada22a96c3,f504ebaa-0156-eb96-e381-aa808aaf5f98,ramco-printing,Mary Kiptoo,Office Manager,,mary@example.co.ke,False,2026-08-11
d0c40128-9bdc-e688-2df3-c8c4f7a62867,71f182a2-d09a-2665-8734-875de9eb67ab,ramco-printing,Kevin Omondi,Brand Manager,,kevin@example.co.ke,True,2026-08-11
ec6b2a8a-c6ad-f475-97a3-78c95fe6b067,71f182a2-d09a-2665-8734-875de9eb67ab,ramco-printing,Faith Barasa,Marketing Manager,,faith@example.co.ke,False,2026-08-11
a0934c7e-ae91-95c0-06b6-532e43e53b57,0cc5931b-dc52-f784-0872-50562390e483,ramco-printing,Mary Omondi,Marketing Manager,254791848456,mary@example.co.ke,False,2026-08-11
22ea34e6-8e07-f76d-1702-91d1ba5c03b1,30917424-9b81-3f23-0d08-4a01d60b505d,ramco-printing,Victor Ochieng,Brand Manager,,victor@example.co.ke,True,2026-08-11
5faee57e-5c1f-e2ff-1a10-8a11189b8a22,25eb2245-41ad-78e8-9a51-101ffb45ae29,ramco-printing,Kevin Wanjiru,Marketing Manager,,kevin@example.co.ke,True,2026-08-11
14604174-3a12-d811-392a-1979eb87deb8,25eb2245-41ad-78e8-9a51-101ffb45ae29,ramco-printing,Peter Wanjiru,Marketing Manager,,peter@example.co.ke,True,2026-08-11
584b3241-c9ee-a154-e860-4048b9bdf1a3,431a0612-649b-ac0c-b17f-741d131f33b3,ramco-printing,Brian Njoroge,Office Manager,254750831625,brian@example.co.ke,False,2026-08-11
a5585089-bfe6-5b07-3d4b-fdbc2c1ebc94,b167d8bc-a690-30b7-4723-30caec70114d,ramco-printing,Samuel Achieng,Marketing Manager,254799674960,samuel@example.co.ke,True,2026-08-11
14de4bd5-a750-90ae-e22f-6de58f45b61d,b167d8bc-a690-30b7-4723-30caec70114d,ramco-printing,Joyce Wanjiru,Office Manager,,joyce@example.co.ke,True,2026-08-11
7c1a456f-b5d0-f4c5-0590-c936c5d6f55d,4bdf9fbf-d1a8-b378-d9d9-1e732ccf62ab,ramco-printing,Peter Chebet,Procurement Officer,,peter@example.co.ke,False,2026-08-11
5127e82b-c7b9-ffbd-5a02-8b5868e9b654,4bdf9fbf-d1a8-b378-d9d9-1e732ccf62ab,ramco-printing,Esther Otieno,Marketing Manager,,esther@example.co.ke,False,2026-08-11
59f52611-304b-429a-3991-6cfa1991d51c,deb58e5a-b7db-6abd-2127-de093774500c,ramco-printing,Daniel Njeri,Office Manager,,daniel@example.co.ke,False,2026-08-11
85c02427-fdd3-c3d6-40d6-fa8625f22ebe,deb58e5a-b7db-6abd-2127-de093774500c,ramco-printing,Faith Muthoni,Procurement Officer,254747640454,faith@example.co.ke,True,2026-08-11
3c156eb4-18f9-4428-6c5d-64c8c26b19a1,1fa48a73-7222-9877-55df-b36e5fc29844,ramco-printing,David Mutiso,Office Manager,,david@example.co.ke,False,2026-08-11
031d49a8-da23-6e6b-21c0-121a13fdc559,1fa48a73-7222-9877-55df-b36e5fc29844,ramco-printing,Peter Njoroge,Procurement Officer,254744985751,peter@example.co.ke,True,2026-08-11
