passenger_id,pnr,full_name,passenger_type,baggage_allowance_kg,special_assistance
9d6a45fb-7452-dc6f-06f3-4664b9bd3eb0,XKPT4M,Sarah Whitfield,adult,20,
eaec71f9-43ed-8b78-451f-b6405c50f7f8,XKPT4M,Ingrid Whitfield,adult,20,
763240c9-dd08-5372-4609-e62b010c8837,RM9K2T,Thomas Osborne,adult,15,
dd0b0526-9acd-ff31-1fff-6c5e23087da1,RM9K2T,Sarah Osborne,adult,15,
53ff56e7-8790-a328-b6dd-6cb4fbf19ef1,RVA9ZW,Peter Castellano,adult,15,
36fe0dda-f2cf-8e7e-1eed-65332c353a2d,RVA9ZW,Andrew Castellano,adult,15,
110ceabb-cdf4-9ed3-104c-fe1e3c610de1,RDLU4N,Elena Bergman,adult,20,
39d18cb8-a839-3365-eda8-2e9adaf399cc,RDLU4N,Robert Bergman,adult,20,
c7343241-ad53-cb6e-51eb-1ef18ad53f96,RDLU4N,Sophie Bergman,adult,20,
4bf25a10-2a9b-c9ac-0177-fa7cc4f52a06,67KDNK,Paul Blackwood,adult,15,
e7ccfdc0-431c-0df8-3b4e-b47f926c541e,67KDNK,Hannah Blackwood,adult,15,
4d9e869c-29a8-62b7-d8df-dc87212349d5,67KDNK,Maria Blackwood,adult,15,
f49c509b-c5f0-ec78-9f64-1850ebf9c5f8,J8CT37,Robert Thornton,adult,15,
681e22bc-722c-203d-9797-ac25c04c6f6f,J8CT37,Lars Thornton,adult,15,
eb9fa32d-893f-fea5-0023-3aa953d69536,J8CT37,Sarah Thornton,adult,15,
f67cbcfe-79ec-50d0-68a7-f8296efa695a,J8CT37,Sarah Thornton,adult,15,
443df353-8320-d952-7c2e-d66247491ab6,39MDK9,Rachel Bauer,adult,15,
33171440-0f93-c8b5-77aa-e223b3719377,39MDK9,Thomas Bauer,adult,15,
b15539a4-e7ed-7a5f-9144-5e76cf33db0a,39MDK9,Elena Bauer,adult,15,
bfd606c9-7d9b-82ef-c682-58979b12d276,B4E4G9,Elena Okonkwo,adult,20,
d7b59c0e-b2e9-5bbf-a587-0905ed94f169,B4E4G9,Grace Okonkwo,adult,20,
