contact_id,account_id,tenant_id,full_name,role,wa_id,email,pin_plaintext_DEMO_ONLY,is_approver,created_at
b01a7154-dd90-a260-74ed-d3ec54a67c04,ea938fb0-0084-6aba-6d9e-9f0c793b22c6,sai-ke,Grace Mwende,Procurement Officer,254722114417,grace@example.co.ke,4417,True,2026-08-11
d8413a8f-e988-7014-92dd-f0e4b48b5224,49b3cfd6-582c-702c-b9ae-bd7911f87156,sai-ke,Peter Kariuki,Admin Manager,254733889012,peter@example.co.ke,8801,True,2026-08-11
0c8127d3-5b30-a64f-6d9d-a500019b8853,e55f68bc-a73a-e9a3-7089-c1b02e0e0e94,sai-tz,Joyce Mwakasege,Procurement,255754220199,joyce@example.co.ke,2019,True,2026-08-11
930baecc-d0eb-3b1b-76a8-03f6484242b9,1315321f-4004-8a33-cbaa-9bc193174212,sai-ke,Mary Mwende,Admin Manager,254742539124,mary@example.co.ke,3301,True,2026-08-11
d2750a36-34f5-422d-1a8b-4d8adccc1760,1315321f-4004-8a33-cbaa-9bc193174212,sai-ke,Peter Nyambura,Procurement Officer,,peter@example.co.ke,,True,2026-08-11
5e760796-cc33-ffd9-86f1-ab4756404bf6,1315321f-4004-8a33-cbaa-9bc193174212,sai-ke,Beatrice Mwende,Procurement Officer,,beatrice@example.co.ke,,True,2026-08-11
911e5327-c97b-f75d-950a-255d3e61a361,fb46e631-53ee-c623-c4d2-c4d0ffb7b162,sai-ke,Dennis Kariuki,Finance Officer,254745991960,dennis@example.co.ke,2666,False,2026-08-11
fbc5695a-d4b2-3c6a-8b82-92082df8e6bc,fb46e631-53ee-c623-c4d2-c4d0ffb7b162,sai-ke,David Mwende,Office Manager,254738756399,david@example.co.ke,3623,False,2026-08-11
76869734-39bb-d71d-e826-589e81ff64a3,fb46e631-53ee-c623-c4d2-c4d0ffb7b162,sai-ke,Mary Njoroge,Office Manager,,mary@example.co.ke,,True,2026-08-11
ad7ffc2d-68fd-bdb6-78cd-f10fff39af01,f3e21a56-a02d-0377-5fdf-351a439d3c05,sai-ke,Anthony Chebet,Procurement Officer,,anthony@example.co.ke,,True,2026-08-11
513e6e94-8ca7-8a74-88ab-bfec36f3df83,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,Samuel Achieng,Procurement Officer,254792989394,samuel@example.co.ke,6342,True,2026-08-11
1ad99de7-8cee-4807-b520-f4e6db051b34,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,Sharon Ochieng,Admin Manager,,sharon@example.co.ke,,False,2026-08-11
6a2f8842-275f-92e9-89d6-f6fce1a1e5bc,2d88b186-a85b-af34-53ba-732eee247387,sai-ke,Winnie Wafula,Admin Manager,,winnie@example.co.ke,,True,2026-08-11
0bc7f186-2f34-1187-e643-9fc9c7342c47,15cdfa54-0dd4-f1ab-e9dc-2169d092207a,sai-ke,Paul Barasa,Procurement Officer,254764619258,paul@example.co.ke,7890,True,2026-08-11
b47776ce-1153-3be0-6118-511933c53def,8af13860-9fc0-2d32-e476-bd13a289d846,sai-ke,Esther Wekesa,Finance Officer,,esther@example.co.ke,,True,2026-08-11
5847f9b2-082e-cb83-1a6a-6d63bb514c66,8af13860-9fc0-2d32-e476-bd13a289d846,sai-ke,Beatrice Mutiso,Admin Manager,,beatrice@example.co.ke,,False,2026-08-11
7b5a4dd0-2572-e9ef-8052-cadcb331adf8,07ea7ec8-6b78-953f-0b66-ad7cd3b3ba4d,sai-ke,David Odhiambo,Office Manager,,david@example.co.ke,,True,2026-08-11
b4d7b2e7-9fd5-5436-a4e5-edf8e2a60e39,75891ee8-ff77-b7cc-3ab3-5af3772f7f5a,sai-ke,Brian Ochieng,Admin Manager,,brian@example.co.ke,,False,2026-08-11
1440d33c-a7df-b5ed-7b95-4c9eae780266,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,Mary Adhiambo,Admin Manager,254775048903,mary@example.co.ke,1771,True,2026-08-11
7702abbe-fbc4-5ce2-1984-d04ef173a25f,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,Mary Wekesa,Procurement Officer,,mary@example.co.ke,,False,2026-08-11
5c175895-24d0-e2a3-856c-bdaf18a66650,767c0c6f-9fe5-eed6-6962-a4952889f486,sai-ke,Sharon Wanjiru,Procurement Officer,254735146800,sharon@example.co.ke,9470,False,2026-08-11
1b5b6cfd-e39e-d63f-ab83-0b9561ed94b4,04c823b4-adac-2af1-e7ad-31e0930ab83a,sai-ke,Grace Kariuki,Finance Officer,,grace@example.co.ke,,False,2026-08-11
dae3d1cd-9bb9-2483-70c8-fa6cea93fff7,04c823b4-adac-2af1-e7ad-31e0930ab83a,sai-ke,Lucy Mutiso,Procurement Officer,,lucy@example.co.ke,,False,2026-08-11
14c88ac8-d45c-952b-88d2-bd9d95ed38b6,04c823b4-adac-2af1-e7ad-31e0930ab83a,sai-ke,Peter Kariuki,Office Manager,,peter@example.co.ke,,True,2026-08-11
0a19ad6e-6628-8099-0a7c-415e45ecf47c,c331d694-9eab-fac3-010e-df895fb6c6c3,sai-ke,Joyce Wekesa,Procurement Officer,254754208875,joyce@example.co.ke,2793,False,2026-08-11
f2615137-36c2-c474-4573-897f1e4be4b2,c331d694-9eab-fac3-010e-df895fb6c6c3,sai-ke,Alice Kamau,Finance Officer,,alice@example.co.ke,,True,2026-08-11
f1c29bd3-2b32-3dbd-8353-031a1df0c91b,a0c565be-900e-95df-1213-4697fa3dc6a9,sai-ke,Mercy Odhiambo,Admin Manager,254765304102,mercy@example.co.ke,9157,True,2026-08-11
7f9ffd3d-ca62-525e-defb-cac07d574e8f,a0c565be-900e-95df-1213-4697fa3dc6a9,sai-ke,Samuel Barasa,Admin Manager,,samuel@example.co.ke,,False,2026-08-11
95a78e07-d62b-b9a7-b255-34ed5be13b09,9d8ade04-d1b3-022b-a213-db5ef2c0b831,sai-ke,Paul Mureithi,Admin Manager,,paul@example.co.ke,,True,2026-08-11
11dad582-fb7c-fad5-0a0d-15b3bd2c0624,9d8ade04-d1b3-022b-a213-db5ef2c0b831,sai-ke,Faith Njoroge,Office Manager,,faith@example.co.ke,,False,2026-08-11
3a8fd637-f6e0-7067-7676-92f1e597ff00,9d8ade04-d1b3-022b-a213-db5ef2c0b831,sai-ke,David Mwende,Office Manager,,david@example.co.ke,,False,2026-08-11
704342d7-7ad3-43ef-0dcd-c690449e0600,465e4f1a-6a37-d3dc-465b-196715bda2f2,sai-ke,Kevin Gitau,Procurement Officer,,kevin@example.co.ke,,True,2026-08-11
46c0b287-111d-6c28-0384-f0b31ac7353b,465e4f1a-6a37-d3dc-465b-196715bda2f2,sai-ke,Mary Wafula,Office Manager,,mary@example.co.ke,,True,2026-08-11
28946d1e-c12e-0f00-bba9-e4bafe9a2559,465e4f1a-6a37-d3dc-465b-196715bda2f2,sai-ke,Victor Kariuki,Finance Officer,,victor@example.co.ke,,True,2026-08-11
de5550e6-e029-4c9b-5d94-b2efd3504761,d1799e4c-d526-50cb-a3ed-18dbd6b1a22f,sai-ke,James Muthoni,Admin Manager,,james@example.co.ke,,True,2026-08-11
12d1062c-a3ce-8b35-006b-d5a6400d7e34,279e0f97-abdc-f275-6a39-ad4f0903cc4f,sai-ke,Kevin Wanjiru,Procurement Officer,,kevin@example.co.ke,,True,2026-08-11
97c35007-8176-79f2-1261-4ad2219154e3,279e0f97-abdc-f275-6a39-ad4f0903cc4f,sai-ke,Sharon Barasa,Admin Manager,,sharon@example.co.ke,,True,2026-08-11
b62a902e-c509-5a5e-9179-c720d00be2de,279e0f97-abdc-f275-6a39-ad4f0903cc4f,sai-ke,Mercy Barasa,Procurement Officer,,mercy@example.co.ke,,False,2026-08-11
a1c595f3-bb88-d88d-4225-1d39e4e3bee3,368f908c-6cf2-b82d-fbca-fd0bbd84b4df,sai-ke,Grace Njeri,Admin Manager,,grace@example.co.ke,,False,2026-08-11
518b6f8c-9d7e-137a-3870-561a403befc0,368f908c-6cf2-b82d-fbca-fd0bbd84b4df,sai-ke,Mercy Kamau,Procurement Officer,,mercy@example.co.ke,,False,2026-08-11
c8a2b4aa-942a-c492-f8f4-3e6a162a8e9d,3da496f2-6c68-6255-d3b3-12e2087ce75e,sai-ke,John Wanjiru,Office Manager,,john@example.co.ke,,False,2026-08-11
240193a0-a371-acc9-397a-c3c8f424c58a,3da496f2-6c68-6255-d3b3-12e2087ce75e,sai-ke,Mary Kamau,Finance Officer,,mary@example.co.ke,,True,2026-08-11
1d1916f0-1723-935f-25d4-c11e59e506f3,3da496f2-6c68-6255-d3b3-12e2087ce75e,sai-ke,Michael Chebet,Finance Officer,,michael@example.co.ke,,False,2026-08-11
1ce9988d-ae7e-a81a-64fb-61438ba6e1a4,33729b60-8b0b-ac69-5da0-6057f4a19148,sai-ke,Mary Nyambura,Admin Manager,,mary@example.co.ke,,False,2026-08-11
90a1e102-0bdc-502b-4dac-e63472359d17,33729b60-8b0b-ac69-5da0-6057f4a19148,sai-ke,Alice Chebet,Office Manager,,alice@example.co.ke,,True,2026-08-11
b550fd4c-5a2a-5f1c-46b7-cc601df68b79,33729b60-8b0b-ac69-5da0-6057f4a19148,sai-ke,Alice Ochieng,Procurement Officer,,alice@example.co.ke,,True,2026-08-11
37202963-f1f9-4cdf-6f35-3b0780757642,5afbc6bf-d652-a4e7-114a-3a7ab3a44394,sai-ke,Caroline Omondi,Finance Officer,,caroline@example.co.ke,,True,2026-08-11
